retailer_id,title,description,availability,condition,price,link,image_link,brand,google_product_category
zentrix,Zentrix Equity,"Real-time equity distribution and cap table platform with low-latency updates. Built with Node.js, Socket.io, PostgreSQL, and React.",in stock,new,800000 NGN,https://equityapp.zentrixinnovationlab.com/,https://devomogo.tech/img/zentrix.png,Zentrix,Software
uhc,Unlimited Healthcare,"AI-diagnostics and real-time medical platform with 20+ clinical testers. Built with React, Capacitor, WebSockets, and AI.",in stock,new,800000 NGN,https://unlimitedhealthcares.com/,https://devomogo.tech/img/uhc.png,UHC,Software
caremandate,CareMandate,"Enterprise Monorepo for clinical management serving high-intensity hospital workflows. Built with Vite, TurboRepo, Expo, and TypeScript.",in stock,new,800000 NGN,https://caremandate.com/,https://devomogo.tech/img/caremandate.png,CareMandate,Software
atom,ATOM Group,"AI technology landing page with engaging UI and service highlights. Built with React and Framer.",in stock,new,800000 NGN,https://atom-landing-five.vercel.app/,https://devomogo.tech/img/atom.png,ATOM,Software
handyman,Handyman NG,"Service marketplace connecting professionals with clients. Expert UX/UI design.",in stock,new,800000 NGN,https://handymanng.com,https://devomogo.tech/img/Handymann.png,Handyman,Software
ilearnova,iLearnova,"E-learning platform for 500+ students and tutors. Built with Node.js and React.",in stock,new,800000 NGN,https://ilearnovafrontend.vercel.app.com,https://devomogo.tech/img/ilearnova.png,iLearnova,Software
pension,Pension App,"Secure pension management and real-time dashboards. Full-stack implementation.",in stock,new,800000 NGN,https://Pensionapp.com,https://devomogo.tech/img/pension.png,Pension,Software
placebet,Placebet,"Full-featured sports and casino betting platform. Custom betting engine.",in stock,new,800000 NGN,https://m.placebet247.com,https://devomogo.tech/img/placement.png,Placebet,Software
ssabhi,SSABHI NGO,"Custom NGO platform with various service integrations. Built on WordPress.",in stock,new,800000 NGN,https://ssabhi.org,https://devomogo.tech/img/ssabhi.png,SSABHI,Software
e-portal,Enugu School E-Portal,Centralized school board hub for communication. Robust backend architecture.,in stock,new,800000 NGN,https://e-portal-seven.vercel.app/,https://devomogo.tech/img/ePortal.png,Enugu State,Software
s-portal,Federal S-Portal,Federal school board official update hub. Government portal solution.,in stock,new,800000 NGN,https://s-portal.vercel.app/,https://devomogo.tech/img/sPortal.png,Federal Govt,Software
student-board,Student Board,Digital bulletin board for announcement sharing. Built with React and Node.,in stock,new,800000 NGN,https://student-board.onrender.com/,https://devomogo.tech/img/student-board.png,StudentBoard,Software
floorhosting,Floorhosting,Web hosting control panel frontend with persistence. Vanilla JS implementation.,in stock,new,800000 NGN,https://floorhostings.vercel.app/,https://devomogo.tech/img/floorhosting.png,Floorhosting,Software
selfany,Selfany,"Dynamic React UIs that improved user engagement by 25%. Built with React and Redux.",in stock,new,800000 NGN,https://selfany.com,https://devomogo.tech/img/selfany.png,Selfany,Software
restaurant-ui,Restaurant Design,Modern restaurant landing page UI with smooth interactive flows. Figma design.,in stock,new,800000 NGN,https://www.figma.com/design/TaBElLQPletCCX5ZQ5hv9O/Restaurant-UI,https://devomogo.tech/img/image.png,Figma,Software
